ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3257.JPG;;200;1;Juego mk zirconia con onix;acero existente en acero solo amarillo;1,4;;;;IMG_3257.JPG;acero_20160749
;http://localhost:8888/joyeria/imgtemp/IMG_3258.JPG;;200;1;Alianza mk con zirconias;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3258.JPG;acero_20160750
;http://localhost:8888/joyeria/imgtemp/IMG_3259.JPG;;200;1;Juego tous corazon ;acero existente en acero solo amarillo;1,4;;;;IMG_3259.JPG;acero_20160751
;http://localhost:8888/joyeria/imgtemp/IMG_3260.JPG;;200;1;Juego channel logo ;acero existente en acero plata;1,4;;;;IMG_3260.JPG;acero_20160752
;http://localhost:8888/joyeria/imgtemp/IMG_3261.JPG;;200;1;Juego channel logo ;acero existente en acero solo amarillo;1,4;;;;IMG_3261.JPG;acero_20160753
;http://localhost:8888/joyeria/imgtemp/IMG_3262.JPG;;200;1;Juego mk onix y zirconias;acero existente en acero plata;1,4;;;;IMG_3262.JPG;acero_20160754
;http://localhost:8888/joyeria/imgtemp/IMG_3263.JPG;;200;1;Anillo de mk piel;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3263.JPG;acero_20160755
;http://localhost:8888/joyeria/imgtemp/IMG_3264.JPG;;200;1;Juego bvlgari alianza ;acero existente en acero plata;1,4;;;;IMG_3264.JPG;acero_20160756
;http://localhost:8888/joyeria/imgtemp/IMG_3265.JPG;;200;1;Anillo de cartier triangulo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3265.JPG;acero_20160757
;http://localhost:8888/joyeria/imgtemp/IMG_3266.JPG;;200;1;Juego channel rombo ;acero existente en acero plata;1,4;;;;IMG_3266.JPG;acero_20160758
;http://localhost:8888/joyeria/imgtemp/IMG_3267.JPG;;200;1;Juego mk placa ;acero existente en acero solo amarillo;1,4;;;;IMG_3267.JPG;acero_20160759
;http://localhost:8888/joyeria/imgtemp/IMG_3268.JPG;;200;1;Juego bvlgari alianza ;acero existente en acero plata;1,4;;;;IMG_3268.JPG;acero_20160760
;http://localhost:8888/joyeria/imgtemp/IMG_3269.JPG;;200;1;Juego channel logo ;acero existente en acero solo amarillo;1,4;;;;IMG_3269.JPG;acero_20160761
